Date,Open,High,Low,Close,Volume,person_buyer_count,company_buyer_count,person_buy_volume,company_buy_volume,person_seller_count,company_seller_count,person_sell_volume,company_sell_volume,person_owner_change,company_owner_change
2015-06-23,160,161,159,161,2339206,93,3,1639206,700000,48,3,1323404,1015802,315802,-315802
2015-06-24,160,160,158,159,1296222,56,2,696222,600000,50,1,1295222,1000,-599000,599000
2015-06-27,161,161,158,159,839303,46,1,619303,220000,50,4,578928,260375,40375,-40375
2015-06-28,158,158,155,155,1382032,56,3,554032,828000,27,3,506425,875607,47607,-47607
2015-06-29,157,158,155,156,514735,45,2,305432,209303,28,4,333881,180854,-28449,28449
2015-06-30,156,160,155,157,3598242,129,2,2088236,1510006,55,6,1134725,2463517,953511,-953511
2015-07-01,160,160,155,156,1212862,96,2,902862,310000,38,4,1004281,208581,-101419,101419
2015-07-04,161,162,157,158,3261289,112,1,2961289,300000,79,3,2357789,903500,603500,-603500
2015-07-05,161,161,156,157,4098847,108,3,2413499,1685348,40,5,2136239,1962608,277260,-277260
2015-07-06,159,159,155,156,1650080,97,3,1149180,500900,50,5,1134510,515570,14670,-14670
2015-07-07,156,160,156,160,3895058,181,2,3255058,640000,101,4,2837080,1057978,417978,-417978
2015-07-11,157,162,155,162,2282129,55,2,1297480,984649,114,1,2219107,63022,-921627,921627
2015-07-12,162,163,159,160,5739549,118,3,4211573,615000,59,5,1097078,3729495,3114495,-3114495
2015-07-13,164,167,163,166,6954644,200,2,5922644,1032000,114,6,4050557,2904087,1872087,-1872087
2015-07-14,170,170,162,169,3671977,156,1,3501977,170000,123,4,2385432,1286545,1116545,-1116545
2015-07-15,170,170,160,160,4951511,141,3,3751511,1200000,107,3,2941179,2010332,810332,-810332
2015-07-20,165,165,159,161,1056579,49,0,1056579,0,64,0,1056579,0,0,0
2015-07-21,160,164,160,162,1155953,51,1,905953,250000,85,1,1075953,80000,-170000,170000
2015-07-22,160,161,158,158,1020074,74,1,920074,100000,44,2,866466,153608,53608,-53608
2015-07-25,158,158,153,153,4534155,134,5,2481377,2052778,60,2,3910279,623876,-1428902,1428902
2015-07-26,151,155,150,154,2303838,120,2,1728914,574924,61,3,1728714,575124,200,-200
2015-07-27,153,153,151,151,852387,82,0,852387,0,40,2,611362,241025,241025,-241025
2015-07-28,154,154,151,153,1168361,49,2,557564,610797,38,3,758385,409976,-200821,200821
2015-07-29,153,154,151,151,1972968,138,2,1903068,69900,43,2,840678,1132290,1062390,-1062390
