Date,Open,High,Low,Close,Volume,person_buyer_count,company_buyer_count,person_buy_volume,company_buy_volume,person_seller_count,company_seller_count,person_sell_volume,company_sell_volume,person_owner_change,company_owner_change
2015-06-23,575,576,562,570,2334748,154,1,2299748,35000,92,2,1503566,831182,796182,-796182
2015-06-24,565,587,559,576,2231124,140,1,2225124,6000,130,3,1770908,460216,454216,-454216
2015-06-27,574,584,567,567,1353970,102,2,1299970,54000,56,2,1169699,184271,130271,-130271
2015-06-28,577,577,553,553,953610,72,1,753610,200000,45,0,953610,0,-200000,200000
2015-06-29,545,576,545,570,970647,59,1,910647,60000,63,0,970647,0,-60000,60000
2015-06-30,574,596,571,596,4636945,242,6,3592323,1044622,163,5,3100945,1536000,491378,-491378
2015-07-01,600,617,580,600,3718284,248,2,3286691,431593,109,5,1210057,2508227,2076634,-2076634
2015-07-04,617,631,617,631,8291899,578,3,7988699,303200,116,10,1481173,6810726,6507526,-6507526
2015-07-05,653,653,624,632,5383344,392,2,5233044,150300,159,7,2503312,2880032,2729732,-2729732
2015-07-06,641,652,635,645,3825179,330,3,3717857,107322,101,6,1517502,2307677,2200355,-2200355
2015-07-07,647,675,647,675,11361927,608,4,11051927,310000,207,12,2906946,8454981,8144981,-8144981
2015-07-11,659,681,647,666,5528116,365,4,5017116,511000,178,5,3470008,2058108,1547108,-1547108
2015-07-12,677,701,675,678,7497007,436,2,5611558,1210000,183,7,4605371,2216187,1006187,-1006187
2015-07-13,720,722,701,717,10893562,707,3,10703562,190000,181,8,4086037,6807525,6617525,-6617525
2015-07-14,739,739,688,708,9101504,667,8,8166404,935100,302,8,7485081,1616423,681323,-681323
2015-07-15,747,747,684,699,8648497,441,14,6264896,2383601,423,2,7928497,720000,-1663601,1663601
2015-07-20,680,706,678,678,4153888,246,10,2587692,1566196,249,1,4093888,60000,-1506196,1506196
2015-07-21,683,694,647,647,4595955,437,6,4278955,317000,264,1,4395955,200000,-117000,117000
2015-07-22,647,647,626,626,3939052,363,8,3299052,640000,178,1,3839052,100000,-540000,540000
2015-07-25,614,623,598,598,1913688,227,1,1813688,100000,139,0,1913688,0,-100000,100000
2015-07-26,582,618,582,610,6660318,434,6,6186423,473895,319,1,6505118,155200,-318695,318695
2015-07-27,606,612,579,591,3236502,278,2,3192524,43978,146,2,3113887,122615,78637,-78637
2015-07-28,588,618,584,618,2793834,237,3,2287559,506275,217,2,2597217,196617,-309658,309658
2015-07-29,624,637,620,637,5037401,220,2,4627401,410000,252,4,4101604,935797,525797,-525797
2015-08-01,658,665,643,643,4837448,252,1,3269014,100000,277,4,3106453,262561,162561,-162561
2015-08-02,639,659,624,639,3639037,227,2,2647665,991372,253,3,3575116,63921,-927451,927451
2015-08-03,646,654,644,647,2111583,139,5,1128761,982822,156,0,2111583,0,-982822,982822
2015-08-04,650,670,628,657,4226479,167,6,1912987,2313492,274,1,4216479,10000,-2303492,2303492
2015-08-05,651,660,650,658,1627176,120,1,1515901,111275,149,1,1527176,100000,-11275,11275
2015-08-08,657,658,631,654,3264800,172,2,1514800,1750000,192,0,3264800,0,-1750000,1750000
2015-08-09,645,655,639,645,2801131,99,1,834121,1965010,165,3,2623622,175509,-1789501,1789501
2015-08-10,653,658,641,641,1645550,84,3,588943,1056607,130,3,1584308,61242,-995365,995365
2015-08-12,650,655,635,640,1076441,78,1,1075864,577,59,1,1062941,13500,12923,-12923
2015-08-15,653,653,633,638,1250964,133,1,1151541,99423,105,1,1214464,36500,-62923,62923
2015-08-16,640,654,640,651,2346938,71,2,885538,1461400,167,1,2321938,25000,-1436400,1436400
2015-08-17,653,664,647,652,3008155,57,4,791131,2217024,190,7,2699986,308169,-1908855,1908855
2015-08-18,654,658,647,649,950518,32,1,201596,300000,39,0,501596,0,-300000,300000
2015-08-19,647,651,640,641,888969,84,4,635284,253685,70,1,730650,158319,-95366,95366
2015-08-22,647,651,637,638,590598,66,3,492575,98023,45,2,538598,52000,-46023,46023
2015-08-23,643,643,618,630,1466522,137,6,973010,493512,89,0,1466522,0,-493512,493512
2015-08-24,633,635,618,620,1298754,47,4,229190,1069564,89,0,1298754,0,-1069564,1069564
2015-08-25,630,630,596,624,2971555,115,5,959825,2011730,157,3,2769146,202409,-1809321,1809321
2015-08-26,622,630,613,627,1644512,46,1,394512,1250000,103,1,1634512,10000,-1240000,1240000
2015-08-29,630,639,622,622,1349881,74,1,921398,428483,60,0,1349881,0,-428483,428483
2015-08-30,631,634,621,633,1524188,41,2,187235,1336953,89,3,984188,540000,-796953,796953
2015-08-31,632,632,617,617,725877,59,1,502981,222896,42,1,615926,109951,-112945,112945
2015-09-01,629,634,624,626,907980,22,3,148001,759979,76,1,857980,50000,-709979,709979
2015-09-02,628,634,627,630,962467,21,2,128147,834320,69,0,962467,0,-834320,834320
2015-09-05,633,644,633,633,716077,70,1,702577,13500,60,1,666077,50000,36500,-36500
2015-09-06,639,639,631,635,1743703,39,3,367196,1376507,65,1,1625963,117740,-1258767,1258767
2015-09-07,638,643,629,629,869593,48,2,472308,397285,97,0,869593,0,-397285,397285
2015-09-08,635,647,634,647,1493196,42,2,233228,1259968,127,0,1493196,0,-1259968,1259968
2015-09-09,647,647,638,641,792287,59,1,491324,300963,52,0,792287,0,-300963,300963
2015-09-12,643,657,639,641,884692,40,3,388310,496382,77,1,801550,83142,-413240,413240
2015-09-13,644,644,613,618,719872,119,2,637372,82500,54,0,719872,0,-82500,82500
2015-09-14,621,647,618,646,2634491,43,3,422455,2212036,169,2,2440267,194224,-2017812,2017812
2015-09-15,645,645,621,625,534469,62,0,534469,0,43,1,499469,35000,35000,-35000
2015-09-16,624,637,619,624,628386,79,0,628386,0,66,0,628386,0,0,0
2015-09-19,618,647,618,624,1954735,58,2,904735,1050000,92,2,1568656,386079,-663921,663921
2015-09-20,624,624,605,605,1561177,166,0,1559477,0,37,2,874732,684745,684745,-684745
2015-09-21,615,643,582,612,4230387,182,5,1654789,2575598,199,3,3767465,462922,-2112676,2112676
2015-09-22,624,624,609,623,675264,53,1,494104,181160,59,1,667243,8021,-173139,173139
2015-09-23,622,623,612,612,1021348,55,1,877591,143757,50,0,1021348,0,-143757,143757
2015-09-26,614,624,611,615,3836562,31,2,330856,3505706,91,1,3744583,91979,-3413727,3413727
2015-09-27,628,635,616,634,1222419,65,4,492682,729737,129,1,1208419,14000,-715737,715737
2015-09-28,635,640,622,639,5946518,103,2,5826518,120000,113,2,1247307,4699211,4579211,-4579211
2015-09-29,641,641,626,626,696625,70,1,416719,279906,44,0,696625,0,-279906,279906
2015-09-30,635,638,627,627,794592,25,2,235320,559272,67,1,694592,100000,-459272,459272
2015-10-03,634,638,626,628,2270460,19,2,75890,2194570,126,1,1970460,300000,-1894570,1894570
2015-10-04,635,641,628,635,1772747,27,2,423258,1349489,154,1,1762747,10000,-1339489,1339489
2015-10-05,641,641,634,634,811390,32,2,168845,642545,66,0,811390,0,-642545,642545
2015-10-06,641,653,635,645,2038246,23,3,59978,1978268,153,3,1878041,160205,-1818063,1818063
2015-10-07,647,647,642,643,979830,38,1,274525,705305,66,3,773508,206322,-498983,498983
2015-10-10,653,653,643,647,1033418,35,2,242830,790588,61,2,657215,376203,-414385,414385
2015-10-11,647,647,644,644,644904,38,1,316870,328034,76,1,540982,103922,-224112,224112
2015-10-12,647,651,644,644,900582,44,4,442431,458151,83,0,900582,0,-458151,458151
2015-10-13,647,647,646,646,1330846,56,2,698093,632753,68,1,1250846,80000,-552753,552753
2015-10-14,647,657,644,644,2035351,122,4,1112601,922750,64,2,1985988,49363,-873387,873387
