Date,Open,High,Low,Close,Volume,person_buyer_count,company_buyer_count,person_buy_volume,company_buy_volume,person_seller_count,company_seller_count,person_sell_volume,company_sell_volume,person_owner_change,company_owner_change
2015-06-23,92,92,92,92,1889257,64,5,1260716,628541,35,2,130926,1758331,1129790,-1129790
2015-06-24,92,93,92,92,774797,48,3,686687,88110,32,2,162614,612183,524073,-524073
2015-06-27,92,92,92,92,1233891,30,3,1108253,125638,45,1,352871,881020,755382,-755382
2015-06-28,92,92,92,92,3530285,27,4,246860,3283425,64,3,230501,3299784,16359,-16359
2015-06-29,93,94,91,92,1197670,49,1,1141618,56052,19,2,159937,1037733,981681,-981681
2015-06-30,92,95,92,95,8847745,71,8,4513037,4334708,57,5,420899,8426846,4092138,-4092138
2015-07-01,95,95,93,94,4252715,68,7,2843764,1408951,57,2,616984,3635731,2226780,-2226780
2015-07-04,94,98,93,97,3922758,75,7,2150462,1772296,73,6,2436719,1486039,-286257,286257
2015-07-12,99,99,98,98,3822458,90,2,3134664,210000,35,4,1606651,1738013,1528013,-1528013
2015-07-13,103,103,102,103,16770044,227,7,10534671,6235373,126,10,5091501,11678543,5443170,-5443170
2015-07-14,104,106,104,104,10624318,135,6,7812611,2811707,123,9,5229958,5394360,2582653,-2582653
2015-07-15,107,107,102,103,7629076,109,8,2968479,4660597,146,5,4710265,2918811,-1741786,1741786
2015-07-29,104,105,102,103,11284552,157,9,4762692,6521860,86,15,4008350,7276202,754342,-754342
2015-08-01,104,104,102,102,3417342,62,3,870084,326984,47,2,772028,425040,98056,-98056
2015-08-02,100,103,100,102,2099972,57,4,1062163,1037809,48,0,2099972,0,-1037809,1037809
2015-08-03,101,102,101,101,1891299,45,2,1497758,393541,72,1,1791299,100000,-293541,293541
2015-08-04,102,102,100,101,2152040,34,2,153309,1998731,34,0,2152040,0,-1998731,1998731
2015-08-05,101,102,100,100,341786,50,2,278821,62965,22,1,341286,500,-62465,62465
2015-08-08,100,100,99,99,3439681,62,4,739681,2700000,36,1,3378158,61523,-2638477,2638477
2015-08-09,99,99,98,98,707846,64,2,443190,264656,31,0,707846,0,-264656,264656
2015-08-10,101,101,96,96,2356833,59,3,479953,1876880,27,2,2305751,51082,-1825798,1825798
2015-08-12,98,98,95,96,806523,51,3,299615,506908,33,2,758001,48522,-458386,458386
2015-08-15,98,98,94,95,593650,46,3,377546,216104,35,0,593650,0,-216104,216104
2015-08-16,96,96,94,94,456886,36,3,246886,210000,22,0,456886,0,-210000,210000
2015-08-17,95,95,94,94,631182,34,3,301182,330000,22,2,494516,136666,-193334,193334
2015-08-18,94,95,93,93,765211,16,3,21201,173154,15,0,194355,0,-173154,173154
2015-08-19,94,94,92,94,637900,23,3,159272,478628,22,2,501478,136422,-342206,342206
2015-08-22,95,95,93,94,497212,24,3,237298,259914,25,2,387212,110000,-149914,149914
2015-08-23,95,95,93,93,215343,25,3,72943,142400,21,0,215343,0,-142400,142400
2015-08-24,95,95,93,93,303149,12,3,78128,225021,27,2,229648,73501,-151520,151520
2015-08-25,93,93,90,90,1387815,70,3,717815,670000,27,3,1122019,265796,-404204,404204
2015-08-26,91,91,88,89,854616,43,5,283047,571569,27,1,846415,8201,-563368,563368
2015-08-29,93,93,90,91,242744,20,4,99197,152047,16,0,251244,0,-152047,152047
2015-08-30,93,93,90,90,296057,26,4,93227,202830,19,0,296057,0,-202830,202830
2015-08-31,90,91,90,91,3916084,6,4,58719,3857365,20,2,250483,3665601,-191764,191764
2015-09-01,91,91,90,90,254318,20,3,133648,120670,19,3,164640,89678,-30992,30992
2015-09-02,92,92,90,90,548908,36,4,381708,167200,20,1,529271,19637,-147563,147563
2015-09-05,92,92,90,91,653739,25,3,463265,190474,21,0,653739,0,-190474,190474
2015-09-06,91,92,90,91,138582,22,1,97982,40600,15,2,120764,17818,-22782,22782
2015-09-07,92,92,90,91,135215,23,1,82915,52300,19,1,127233,7982,-44318,44318
2015-09-08,92,92,89,89,490290,44,2,418615,71675,25,2,379798,110492,38817,-38817
2015-09-09,91,91,88,89,839860,74,4,665780,174080,20,0,839860,0,-174080,174080
2015-09-12,90,91,88,90,2119763,15,3,52257,2067506,19,3,115213,2004550,-62956,62956
2015-09-13,91,91,85,86,2751816,72,5,636285,2115531,23,1,751816,2000000,-115531,115531
2015-09-14,86,88,85,88,710378,12,5,21185,689193,49,1,640378,70000,-619193,619193
2015-09-15,88,88,86,86,679900,33,4,119077,560823,34,1,656011,23889,-536934,536934
2015-09-16,87,88,86,86,356018,28,3,125398,230620,28,3,248985,107033,-123587,123587
2015-09-19,89,89,86,86,685553,30,4,157553,528000,29,2,560553,125000,-403000,403000
2015-09-20,87,87,82,83,1215250,48,4,428970,786280,31,1,1115250,100000,-686280,686280
2015-09-21,84,84,81,83,397548,14,3,155684,241864,22,1,297548,100000,-141864,141864
2015-09-22,84,85,82,83,329965,37,3,207522,122443,20,0,329965,0,-122443,122443
2015-09-23,83,84,83,84,302164,32,3,138664,163500,22,1,302150,14,-163486,163486
2015-09-26,84,84,83,83,231898,16,3,49642,182256,11,0,231898,0,-182256,182256
2015-09-27,86,86,83,84,627662,15,5,144572,483090,22,1,607870,19792,-463298,463298
2015-09-28,86,86,83,85,234633,10,3,31033,203600,15,0,234633,0,-203600,203600
2015-09-29,85,85,84,84,252674,17,2,153674,99000,13,1,96831,155843,56843,-56843
2015-09-30,85,85,84,84,297812,15,5,87073,210739,19,1,262812,35000,-175739,175739
2015-10-03,85,85,83,83,426568,21,2,302568,124000,24,3,253268,173300,49300,-49300
2015-10-04,84,86,82,85,4344882,11,5,71967,4272915,48,3,1597048,2747834,-1525081,1525081
2015-10-05,86,86,83,83,457906,29,4,215873,242033,22,1,360347,97559,-144474,144474
2015-10-06,85,88,83,87,4236197,26,3,225897,4010300,61,4,2734276,1501921,-2508379,2508379
2015-10-07,88,88,85,86,353620,15,2,79620,274000,12,3,29103,324517,50517,-50517
2015-10-10,88,88,84,87,285107,11,3,120107,165000,20,2,107279,177828,12828,-12828
2015-10-11,88,88,86,86,156495,11,1,89995,66500,11,3,86454,70041,3541,-3541
2015-10-12,87,87,84,86,262976,21,3,138587,124389,14,0,262976,0,-124389,124389
2015-10-13,87,87,86,86,412025,17,2,142425,269600,18,1,142709,269316,-284,284
2015-10-14,89,89,87,89,390008,22,2,312538,77470,38,3,165234,224774,147304,-147304
2015-10-17,90,91,89,91,668573,30,3,523573,145000,53,3,324205,344368,199368,-199368
2015-10-18,92,92,89,89,298040,43,1,276840,21200,24,2,249150,48890,27690,-27690
2015-10-19,92,92,88,88,161985,23,2,110285,51700,10,1,160485,1500,-50200,50200
2015-10-20,90,92,88,92,598556,26,2,87556,511000,33,2,398556,200000,-311000,311000
2015-10-21,92,92,89,92,603189,15,2,290189,313000,45,2,501189,102000,-211000,211000
2015-10-25,93,93,89,90,304332,28,1,289332,15000,12,3,81750,222582,207582,-207582
2015-10-26,92,92,89,90,80146,25,1,67146,13000,11,2,66962,13184,184,-184
2015-10-27,91,91,88,90,631452,16,2,20452,611000,14,3,55678,575774,-35226,35226
2015-10-28,92,93,89,93,753893,13,1,97586,13000,14,2,58036,52550,39550,-39550
2015-10-31,92,92,89,91,138801,21,2,98801,40000,20,1,103827,34974,-5026,5026
2015-11-01,91,91,89,89,586079,59,3,451279,134800,20,3,99347,486732,351932,-351932
2015-11-02,91,91,89,90,10208500,49,3,1136904,9071596,14,4,425336,9783164,711568,-711568
2015-11-03,91,91,89,89,1556335,36,5,139655,1416400,8,3,26393,1529662,113262,-113262
